,collocation,translate
359,low,低
360,win,赢
361,research,研究
362,girl,女孩
363,guy,盖伊
364,early,早些时候
365,food,食物
366,himself,他自己
367,before,在此之前
368,moment,力矩
369,air,空气
370,teacher,教师
371,force,力
372,offer,报盘
373,enough,足够的
374,both,两者都有
375,education,教育
376,across,横跨
377,although,虽然
378,remember,记起
379,foot,脚
380,second,第二
381,boy,男孩
382,maybe,也许吧
383,toward,冲向
384,able,有能力的
385,age,年龄
386,off,关闭
387,policy,政策
388,everything,所有的一切
389,love,喜爱
390,process,制程
391,music,乐谱
392,including,包括
393,consider,考虑
394,appear,出现
395,actually,实际上
396,buy,买
397,probably,很可能
398,human,人类
399,wait,等
400,serve,发球
401,market,市场
402,die,压死
403,send,发送
404,expect,期望
405,home,家
406,sense,感觉
407,build,建房
408,stay,留
409,fall,坠落
410,oh,噢
411,nation,民族
412,plan,规划
413,cut,切
414,college,专科学校
415,interest,利息
416,death,死亡
417,course,航向
418,someone,某个人
419,experience,经验
420,behind,在后面
421,reach,到达
422,local,本地
423,six,六
424,kill,杀戮
425,remain,留下来
426,effect,效应
427,use,使用
428,yeah,嗯
429,suggest,建议
430,class,班级
431,control,控制
432,raise,加薪
433,care,关怀
434,perhaps,也许吧
435,little,一点儿
436,late,太晚了
437,hard,硬
438,field,字段
439,else,其他
440,pass,经过
441,former,前一次
442,sell,卖
443,major,主修
444,sometimes,有时候
445,require,要求
446,along,沿着
447,development,发展
448,themselves,他们自己
449,report,报告
450,role,角色
451,better,更好
452,economic,经济
453,effort,努力
454,up,向上
455,decide,决定
456,rate,费率
457,strong,强壮
458,possible,可能的
459,heart,心
460,drug,毒品
461,show,展示会
462,leader,领袖
463,light,灯
464,voice,语声
465,wife,老婆
466,whole,整体
467,police,警察
468,mind,心念
469,finally,终于到了
470,pull,拉
471,return,退货
472,free,免费
473,military,军事
474,price,价格
475,report,报告
476,less,较少
477,according,根据
478,decision,决定
479,explain,解释
480,son,儿子
481,hope,希望
482,even,甚至
483,develop,发展
484,view,观
485,relationship,关系
486,carry,进位
487,town,小镇
488,road,公路
489,drive,驾驶
490,arm,手臂
491,true,千真万确
492,federal,联邦政府
493,break,断掉
494,better,更好
495,difference,差异
496,receive,收纳
497,thank,谢谢
498,value,价值
499,international,国际
500,building,建房
501,action,行动
502,full,饱满
503,model,型号
504,join,会合
505,season,季节
506,society,社会
507,because,因为
508,tax,税收
509,director,导演
510,early,早些时候
511,position,位置
512,player,球员
513,agree,同意
514,especially,尤其是
515,record,记录
516,pick,拾取
517,wear,穿着
518,paper,纸
519,special,特殊
520,space,空间
521,ground,地面
522,form,表格
523,support,支持
524,event,活动
525,official,官吏
526,whose,谁的
527,matter,物质
528,everyone,每个人
529,center,中心
530,couple,夫妻
531,site,立地
532,end,结束
533,project,工程
534,hit,打中
535,base,基座
536,activity,活动
537,star,星星
538,table,表格
539,need,需要
540,court,宫廷
541,produce,生产
542,eat,吃
543,american,美国
544,teach,教书
545,oil,油
546,half,一半
547,situation,情势
548,easy,易如反掌
549,cost,成本
550,industry,工业
551,figure,插图
552,face,脸
553,street,街道
554,image,图像
555,itself,本身
556,phone,电话
557,either,任一种
558,data,资料
559,cover,盖子
560,quite,相当不错
561,picture,图片
562,clear,清除
563,practice,实践
564,piece,件
565,land,土地
566,recent,近期
567,describe,描述
568,product,产品
569,doctor,医生
570,wall,墙
571,patient,有耐心的
572,worker,工人
573,news,新闻
574,test,测试
575,movie,电影
576,certain,一定的
577,north,北
578,love,喜爱
579,personal,个人
580,open,打开
581,support,支持
582,simply,简单地
583,third,第三
584,technology,技术
585,catch,接球
586,step,步进
587,baby,宝贝
588,computer,电脑
589,type,类型
590,attention,注意
591,draw,画
592,film,胶卷
593,republican,共和党人
594,organization,组织
595,tree,树
596,source,来源
597,red,红色
598,nearly,差一点
599,choose,选择
600,cause,原因
601,hair,头发
602,look,看
603,point,点
604,century,世纪
605,evidence,证据
606,window,窗户
607,difficult,困难
608,listen,听
609,soon,很快
610,culture,文化
611,billion,10亿
612,chance,机会
613,brother,兄弟
614,energy,能量
615,realize,实现
616,period,周期
617,course,航向
618,summer,夏天
619,less,较少
620,hundred,百人
621,available,可用
622,plant,种
623,likely,很可能
624,opportunity,机遇
625,term,术语
626,short,短的
627,letter,信件
628,condition,条件
629,choice,选择
630,place,安放
631,single,单机
632,rule,规则
633,daughter,女儿
634,administration,行政管理
635,south,南
636,husband,丈夫
637,congress,国会
638,floor,地板
639,campaign,选战
640,material,材料
641,population,人口
642,well,井
643,call,打电话
644,economy,经济
645,medical,医学
646,hospital,医院
647,church,教堂
648,close,关
649,risk,风险
650,thousand,千人
651,current,当前
652,fire,火
653,future,未来
654,wrong,不对
655,involve,牵涉到
656,defense,防御
657,behavior,行为
658,anyone,任何人
659,increase,增加
660,security,安防
661,myself,我自己
662,bank,银行
663,certainly,当然
664,west,西
665,sport,运动
666,board,板子
667,seek,寻觅
668,per,人均
669,subject,主体
670,officer,军官
671,private,私
672,rest,休息
673,deal,就这么着，说好了
674,performance,性能
675,fight,搏斗
676,throw,投掷
677,top,塔顶
678,quickly,快点
679,past,过去时
680,goal,目标
681,second,第二
682,bed,床
683,order,定单
684,author,作者
685,fill,填塞
686,represent,代表
687,focus,焦点
688,foreign,外国的
689,drop,丢弃
690,plan,规划
691,blood,血样
692,upon,一开始
693,agency,中介机构
694,push,推
695,nature,自然
696,color,上色
697,no,不是的
698,recently,最近
699,store,储物
700,reduce,减少
701,sound,声音
702,note,注
703,fine,很好
704,before,在此之前
705,near,近处
706,movement,运动
707,page,页
708,enter,请输入
709,common,普普通通
710,share,分享
711,than,比
712,poor,贫穷
713,other,其他
714,natural,天然
715,race,种族
716,concern,关注
717,series,系列
718,significant,意义重大
719,similar,相似
720,hot,热
721,language,语言
722,each,每一个
723,usually,通常
724,response,回应
725,dead,死掉
726,rise,崛起
727,animal,动物
728,factor,因素
729,decade,十年
730,article,文章
731,shoot,拍摄
732,east,东
733,seven,七
734,save,保存
735,artist,画家
736,away,离开
737,scene,场景
738,eight,八
739,stock,股票
740,career,职业生涯
741,despite,尽管
742,central,中区
743,thus,因此，
744,treatment,治疗
745,beyond,超越
746,happy,高兴的
747,exactly,一点儿没错
748,protect,护卫
749,approach,方法
750,lie,撒谎
751,size,尺寸
752,dog,狗
753,fund,基金
754,serious,严重的
755,occur,发生
756,media,媒体
757,ready,准备好的
758,sign,标牌
759,thought,思想
760,list,列表
761,individual,个人
762,simple,简单
763,quality,品质
764,pressure,压强
765,accept,接受
766,answer,回答
767,hard,硬
768,resource,资源
769,identify,识别
770,left,左边
771,meeting,会议
772,determine,确定
773,prepare,做好准备
774,disease,疾病
775,whatever,管它呢
776,success,成功
777,argue,争辩
778,recognize,认出
779,cup,杯子
780,particularly,尤其是
781,amount,金额
782,ability,能力
783,staff,员工
784,indicate,表明
785,character,性格
786,growth,增长
787,loss,损失
788,degree,学位
789,wonder,好奇
790,attack,攻击
791,herself,她自己
792,region,区域
793,television,电视
794,box,盒
795,training,训练
796,pretty,漂亮
797,deal,就这么着，说好了
798,everybody,所有人
799,trade,贸易
800,election,选举
801,physical,物理
802,lay,铺设
803,general,一般信息
804,feeling,感觉
805,standard,标准
806,message,讯息
807,fail,失败
808,(bill),(条例草案)
809,outside,外面
810,arrive,到达
811,analysis,分析
812,benefit,优势
813,name,名字
814,sex,性
815,forward,向前
816,lawyer,律师
817,present,现在时
818,section,分段
819,environmental,环境保护
820,glass,玻璃杯
821,skill,技艺
822,answer,回答
823,sister,姐妹
824,pm,下午三点半
825,professor,教授
826,operation,操作
827,financial,金融
828,crime,犯罪
829,stage,阶段
830,ok,好的
831,compare,比较
832,authority,权威
833,miss,小姐
834,design,设计
835,sort,排序
836,one,一
837,act,施展
838,ten,十
839,knowledge,知识
840,gun,枪炮
841,station,车站
842,blue,蓝色
843,state,状态
844,strategy,战略
845,little,一点儿
846,clearly,很明显
847,discuss,讨论
848,indeed,确实如此
849,force,力
850,truth,真相
851,song,宋氏
852,example,示例
853,democratic,民主党人
854,check,查抄
855,environment,环境
856,leg,腿
857,dark,漆黑
858,public,公众
859,various,多种多样
860,rather,更确切地说
861,laugh,大笑
862,guess,猜测
863,executive,行政人员
864,set,集
865,study,学习
866,prove,证明
867,hang,挂起
868,entire,整个
869,rock,岩石
870,design,设计
871,enough,足够的
872,forget,忘了吧
873,since,因为
874,claim,领款申请
875,note,注
876,remove,删除
877,manager,经理
878,help,帮助
879,close,关
880,sound,声音
881,enjoy,享受
882,network,网络
883,legal,法律
884,religious,信教的
885,cold,冷的
886,form,表格
887,final,最终
888,main,主干道
889,science,科学
890,green,绿色
891,memory,记忆
892,card,卡片
893,above,在上面
894,seat,座位
895,cell,细胞
896,establish,建立
897,nice,好的
898,trial,审判
899,expert,专家
900,that,那
901,spring,春天
902,firm,公司
903,democrat,民主党人
904,radio,收音机
905,visit,参观
906,management,管理
907,care,关怀
908,avoid,避免
909,imagine,想象一下
910,tonight,今晚
911,huge,巨大的
912,ball,球
913,no,不是的
914,close,关
915,yourself,你自己
916,finish,完成
917,talk,谈天说地
918,theory,理论
919,impact,冲击
920,respond,回应
921,statement,陈述
922,maintain,维护
923,charge,收费
924,popular,受欢迎
925,traditional,传统
926,onto,转到
927,reveal,揭示
928,direction,方向性
929,weapon,兵器
930,employee,员工
931,contain,包含
932,cultural,文化
933,peace,和平
934,head,头
935,control,控制
936,base,基座
937,pain,痛楚
938,apply,套用
939,play,玩
940,wide,宽
941,measure,量测
942,shake,摇一摇
943,fly,飞
944,interview,采访
945,manage,管理
946,chair,椅子
947,fish,鱼
948,particular,特别的
949,camera,摄象机
950,structure,结构
951,politics,政治
952,bit,位
953,perform,执行
954,weight,重量
955,suddenly,突然间
956,discover,发现
957,candidate,候选人
958,top,塔顶
959,production,生产
960,treat,请客
961,evening,晚上
962,trip,绊倒
963,affect,影响
964,inside,里边
965,conference,会议
966,unit,单位
967,best,最好的
968,style,格调
969,adult,成虫
970,worry,担心
971,mention,提到
972,range,量程
973,rather,更确切地说
974,far,远
975,deep,深度
976,past,过去时
977,edge,边沿
978,individual,个人
979,specific,特定的
980,writer,作家
981,trouble,麻烦
982,necessary,必要的
983,throughout,贯穿始终
984,challenge,挑战
985,fear,恐惧
986,shoulder,肩部
987,institution,机构
988,middle,中位
989,sea,大海
990,dream,梦
991,bar,酒吧
992,beautiful,漂亮的
993,property,财产性
994,instead,相反，
995,improve,改进
996,stuff,材料
997,detail,详细信息
998,method,方法
999,sign,标牌
1000,somebody,来人呀
1001,magazine,杂志社
1002,hotel,酒店
1003,soldier,士兵
1004,reflect,反思
1005,heavy,重的
1006,sexual,性爱
1007,cause,原因
1008,bag,布袋
1009,heat,热度
1010,fall,坠落
1011,marriage,婚姻
1012,tough,坚韧
1013,sing,唱歌
1014,purpose,目的
1015,surface,表面
1016,exist,存在
1017,pattern,图案
1018,whom,他是谁
1019,skin,皮肤
1020,agent,代理人
1021,owner,所有者
1022,machine,机器
1023,gas,燃气
1024,down,向下
1025,ahead,领先
1026,generation,世代
1027,commercial,商品化
1028,address,地址
1029,cancer,癌症
1030,test,测试
1031,item,项目
1032,reality,现实
1033,coach,教练
1034,step,步进
1035,yard,码数
1036,beat,节拍
1037,violence,暴力
1038,total,共计
1039,tend,看护
1040,investment,投资
1041,discussion,讨论
1042,finger,手指
1043,garden,花园
1044,notice,告示
1045,collection,征集
1046,modern,现代
1047,task,任务
1048,partner,合伙人
1049,positive,积极的
1050,civil,民事
1051,kitchen,厨房
1052,consumer,消费者
1053,shot,快照
1054,budget,预算
1055,wish,祝愿
1056,painting,绘画
1057,scientist,科学家
1058,safe,安全
1059,agreement,协议书
1060,mouth,嘴
1061,capital,资本
1062,nor,也不是
1063,victim,受害者
1064,newspaper,报纸
1065,instead,相反，
1066,threat,威胁
1067,responsibility,责任
1068,smile,笑笑
1069,attorney,律师
1070,score,得分
1071,account,帐户
1072,interesting,有意思的
1073,break,断掉
1074,audience,观众
1075,rich,富足
1076,dinner,正餐
1077,figure,插图
1078,vote,投票
1079,western,西式
1080,relate,关联
1081,travel,旅行
1082,debate,辩论
1083,prevent,预防
1084,citizen,公民
1085,majority,多数
1086,none,无
1087,front,前面
1088,born,出生
1089,admit,录取
1090,senior,资深人士
1091,assume,假设
1092,wind,风
1093,key,钥匙
1094,professional,专业型
1095,mission,使命
1096,fast,快地
1097,alone,独自一人
1098,customer,客户
1099,suffer,受苦
1100,speech,演讲
1101,successful,成功
1102,option,选择权
1103,participant,参与者
1104,no,不是的
1105,southern,南区
1106,eventually,最终
1107,fresh,新鲜的
1108,forest,森林
1109,video,视频
1110,global,全球
1111,senate,参议院
1112,reform,改革
1113,access,访问
1114,restaurant,饭馆
1115,judge,法官
1116,publish,发布
1117,cost,成本
1118,relation,关系
1119,like,喜欢
1120,release,发布
1121,own,自己人
1122,bird,鸟
1123,labor,劳工
1124,opinion,意见
1125,credit,学分
1126,critical,危急时刻
1127,corner,转角
1128,concerned,受关注的
1129,recall,召回
1130,version,版本
1131,stare,凝视
1132,safety,安全
1133,effective,有效
1134,neighborhood,邻里
1135,original,原创
1136,act,施展
1137,troop,部队
1138,income,收入
1139,directly,直接
1140,hurt,伤
1141,species,物种
1142,immediately,立即
1143,track,轨道
1144,basic,基本型
1145,strike,罢工
1146,hope,希望
1147,sky,天空
1148,freedom,自由
1149,absolutely,绝对一点儿没错
1150,plane,飞机
1151,nobody,没有人
1152,achieve,实现
1153,object,对象
1154,nine,九
1155,attitude,态度
1156,refer,请参阅
1157,client,客户端
1158,concept,概念
1159,powerful,强大
1160,perfect,完美无缺
1161,therefore,因此
1162,conduct,品行
1163,announce,宣布
1164,conversation,对话
1165,examine,检查
1166,touch,触碰
1167,please,请
1168,attend,出席
1169,completely,完全地
1170,vote,投票
1171,variety,品种
1172,sleep,睡觉吧
1173,turn,转弯
1174,involved,牵涉其中
1175,investigation,调查
1176,nuclear,核能
1177,researcher,研究人员
1178,press,压榨
1179,conflict,冲突
1180,spirit,精神
1181,experience,经验
1182,replace,替换
1183,british,英国式
1184,encourage,鼓励
1185,argument,论据
1186,by,通过
1187,(lot),(地段)
1188,once,一次
1189,camp,营地
1190,brain,脑区
1191,feature,功能
1192,afternoon,下午
1193,am,上午
1194,weekend,周末
1195,dozen,十几个
1196,possibility,可能性
1197,along,沿着
1198,insurance,保险
1199,department,科室
1200,battle,对战
1201,beginning,开始
1202,date,日期
1203,generally,大体上
1204,african,非洲
1205,very,非常
1206,sorry,抱歉的
1207,crisis,危机
1208,complete,完整
1209,fan,扇形
1210,stick,棍子
1211,define,定义
1212,easily,很容易
1213,through,直通
1214,hole,孔洞
1215,element,元素
1216,status,状态
1217,vision,视觉
1218,normal,正常
1219,chinese,中国人
1220,ship,船舶
1221,stone,石材
1222,solution,解
1223,slowly,慢慢地
1224,scale,比例尺
1225,bit,位
1226,(university),(大学)
1227,introduce,介绍
1228,driver,司机
1229,attempt,尝试
1230,(park),(公园)
1231,spot,斑点
1232,lack,缺乏
1233,ice,冰
1234,boat,船
1235,drink,喝
1236,sun,太阳
1237,front,前面
1238,distance,距离
1239,wood,木料
1240,truck,卡车
1241,handle,手柄
1242,return,退货
1243,mountain,高山
1244,survey,调查
1245,supposed,假设
1246,tradition,传统
1247,winter,冬天
1248,village,村子
1249,soviet,苏联
1250,refuse,拒绝
1251,sales,销货
1252,roll,滚筒
1253,communication,通信
1254,run,跑
1255,screen,筛网
1256,gain,利得
1257,resident,居民
1258,hide,躲藏
1259,gold,黄金
1260,club,俱乐部
1261,farm,农场
1262,future,未来
1263,potential,潜力
1264,increase,增加
1265,middle,中位
1266,european,欧洲人
1267,presence,存在
1268,independent,独立的
1269,district,地区
1270,shape,形状
1271,reader,阅读器
1272,contract,合约
1273,crowd,人群
1274,christian,基督徒
1275,express,快递
1276,apartment,公寓
1277,willing,愿意
1278,strength,实力
1279,previous,以前的
1280,band,谱带
1281,obviously,显然，
1282,horse,马
1283,interested,感兴趣
1284,target,靶子
1285,prison,监狱
1286,ride,骑
1287,guard,警卫
1288,terms,条款
1289,reporter,记者
1290,demand,需求
1291,deliver,交付
1292,text,正文
1293,share,分享
1294,tool,工具
1295,wild,野性
1296,vehicle,车辆
1297,observe,观察
1298,flight,飞行
1299,inside,里边
1300,facility,设施
1301,understanding,理解
1302,average,平均值
1303,emerge,浮现
1304,advantage,优势
1305,light,灯
1306,quick,快的
1307,leadership,领导力
1308,earn,赚到
1309,pound,英镑
1310,basis,基础
1311,bright,明亮
1312,operate,运营
1313,guest,客人
1314,sample,样本
1315,contribute,贡献力量
1316,tiny,很小
1317,block,块
1318,protection,保护
1319,settle,结算
1320,feed,进料
1321,collect,收集
1322,additional,其他内容
1323,highly,高度
1324,while,而当
1325,identity,身份
1326,title,标题
1327,mostly,主要是
1328,lesson,教训
1329,faith,信仰
1330,river,河
1331,promote,推广
1332,living,活生生
1333,present,现在时
1334,count,数数
1335,unless,除非
1336,marry,结婚吧
1337,tomorrow,明天
1338,technique,技术
1339,path,路径
1340,ear,耳朵
1341,shop,商店
1342,folk,民间
1343,order,定单
1344,principle,原则
1345,survive,活下来
1346,lift,电梯
1347,border,边框
1348,competition,竞争
1349,jump,跳
1350,gather,聚集在一起
1351,limit,限值
1352,fit,配合度
1353,claim,领款申请
1354,cry,哭
1355,equipment,装备
1356,worth,沃思
1357,associate,关联
1358,critic,评论家
1359,warm,温暖的
1360,aspect,纵横比
1361,result,结果
1362,insist,坚持
1363,failure,失败
1364,annual,每年一次
1365,french,法语
1366,comment,评语
1367,affair,外遇
1368,responsible,负责任的
1369,approach,方法
1370,mean,中庸
1371,until,直到
1372,procedure,程序
1373,regular,常规
1374,spread,扩散
1375,chairman,主席
1376,baseball,棒球
1377,soft,软软
1378,ignore,忽略
1379,egg,蛋
1380,measure,量测
1381,belief,信仰
1382,demonstrate,演示
1383,anybody,任何人
1384,murder,谋杀
1385,gift,馈赠
1386,religion,宗教
1387,review,检讨
1388,editor,编辑
1389,past,过去时
1390,engage,接洽
1391,coffee,咖啡
1392,document,文档
1393,speed,速度
1394,cross,十字架
1395,influence,影响力
1396,anyway,不管怎样，
1397,commit,提交
1398,threaten,威胁
1399,female,女性
1400,youth,青年
1401,wave,波浪
1402,move,移动
1403,afraid,害怕
1404,quarter,季度
1405,background,背景
1406,native,原生
1407,broad,宽泛
1408,wonderful,精彩的
1409,deny,拒绝
1410,apparently,显然
1411,slightly,略微
1412,reaction,反应
1413,twice,两次
1414,suit,西装
1415,perspective,透视
1416,growing,不断增长
1417,blow,吹
1418,construction,建筑
1419,kind,种类
1420,intelligence,智商
1421,destroy,毁掉
1422,cook,煮
1423,charge,收费
1424,connection,连接
1425,burn,烧伤
1426,shoe,鞋
1427,neighbor,邻居
1428,view,观
1429,grade,等级
1430,context,上下文
1431,committee,委员会
1432,hey,嘿
1433,mistake,错误
1434,focus,焦点
1435,smile,笑笑
1436,location,位置
1437,clothes,衣服
1438,quiet,安静
1439,indian,印地安人
1440,dress,连衣裙
1441,promise,承诺
1442,aware,意识到
1443,complete,完整
1444,drive,驾驶
1445,function,功能
1446,bone,骨头
1447,active,主动型
1448,extend,延伸
1449,chief,酋长
1450,average,平均值
1451,combine,合并
1452,wine,葡萄酒
1453,below,在下面
1454,cool,凉爽的
1455,voter,选民
1456,bus,公共汽车
1457,demand,需求
1458,learning,学习
1459,hell,地狱
1460,dangerous,危险
1461,remind,提醒
1462,moral,道德上的
1463,united,美联航
1464,category,类别
1465,relatively,相对的
1466,victory,胜利
1467,key,钥匙
1468,academic,学术
1469,visit,参观
1470,internet,互联网
1471,healthy,健康
1472,fire,火
1473,negative,阴性
1474,following,下面是
1475,historical,历史
1476,medicine,医学
1477,tour,游览
1478,depend,依赖
1479,(photo),(图片)
1480,finding,查找
1481,grab,抓取
1482,direct,直接
1483,classroom,教室
1484,contact,接触
1485,justice,正义
1486,participate,参与其中
1487,daily,每日
1488,fair,公平
1489,pair,配对
1490,famous,有名的
1491,exercise,锻炼身体
1492,knee,膝盖
1493,flower,花
1494,tape,磁带
1495,hire,雇佣
1496,familiar,熟悉
1497,appropriate,适当的
1498,supply,供应
1499,fully,完全
1500,cut,切
1501,actor,演员
1502,will,将要
1503,birth,出生
1504,search,搜寻
1505,tie,领带
1506,democracy,民主
1507,eastern,东方
1508,primary,主要
1509,yesterday,昨天
1510,circle,圆圈
1511,device,装置，装置
1512,progress,进展
1513,next,下一步
1514,front,前面
1515,bottom,底端
1516,island,海岛
1517,exchange,交易所
1518,clean,打扫
1519,studio,演播室
1520,train,火车
1521,lady,淑女
1522,colleague,同事
1523,application,应用
1524,lean,瘦身
1525,neck,脖子
1526,damage,毁伤
1527,plastic,塑料制品
1528,tall,高的
1529,plate,盘子
1530,hate,憎恨
1531,otherwise,否则
1532,writing,文笔
1533,press,压榨
1534,male,男性
1535,start,开始
1536,alive,活着
1537,expression,表情
1538,football,足球
1539,theater,剧场
1540,intend,意向
1541,attack,攻击
1542,chicken,鸡肉
1543,army,军队
1544,abuse,滥用
1545,shut,关闭
1546,map,地图
1547,extra,额外
1548,session,会话
1549,welcome,欢迎
1550,danger,危险
1551,domestic,国内
1552,lots,地段
1553,literature,文学
1554,rain,下雨
1555,desire,欲望
1556,assessment,评估
1557,injury,伤害
1558,respect,敬重
1559,paint,画画
1560,northern,北方
1561,nod,点头
1562,fuel,燃料，燃料
1563,leaf,叶
1564,direct,直接
1565,dry,干的
1566,russian,俄文
1567,instruction,说明
1568,fight,搏斗
1569,pool,水池
1570,climb,攀登
1571,sweet,甜
1572,lead,铅
1573,engine,发动机
1574,fourth,第四
1575,salt,食盐
1576,expand,扩展
1577,importance,重要性
1578,metal,金属
1579,fat,胖的
1580,ticket,车票
1581,software,软体
1582,disappear,消失了
1583,corporate,公司
1584,strange,奇怪的是
1585,reading,阅读
1586,lip,嘴唇
1587,urban,城市
1588,mental,精神上的
1589,increasingly,越来越多
1590,lunch,午饭
1591,educational,教育性
1592,somewhere,在某处
1593,farmer,农民
1594,above,在上面
1595,sugar,白糖
1596,planet,行星
1597,favorite,最爱
1598,explore,探索
1599,obtain,获取
1600,enemy,敌人
1601,greatest,最棒的
1602,complex,复合体
1603,surround,环绕
1604,athlete,运动员
1605,invite,邀请
1606,repeat,重复
1607,carefully,小心地
1608,soul,灵魂
1609,scientific,科学
1610,impossible,不可能
1611,panel,嵌板
1612,meaning,含义
1613,mom,妈妈
1614,married,已婚
1615,instrument,仪器
1616,alone,独自一人
1617,predict,预测
1618,weather,天气
